Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Net Amount,VAT Amount,Gross Amount,Description,Project Code,Expenditure Type
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,Blackburn-Darwen Borough Council,1867,70576.45,0.00,70576.45,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/02,Private Woodland Grants,Etpp - Sustainable Forest Man.,Buckinghamshire Council,1781,64887.66,0.00,64887.66,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/09,Private Woodland Grants,Etpp - Sustainable Forest Man.,Cambridgeshire County Council,1834,86478.05,0.00,86478.05,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,Central Bedfordshire Council,1868,32684.54,0.00,32684.54,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Cumbria County Council,1789,94350.62,0.00,94350.62,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/02,Private Woodland Grants,Etpp - Sustainable Forest Man.,Derbyshire County Council,1783,52694.81,0.00,52694.81,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,East Sussex County Council,1788,99610.00,0.00,99610.00,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/11,Training,Hrd Office,Ernst & Young Llp,12899,29000.00,5800.00,34800.00,Training - Pmp Training Modules,Pmp Training Modules,Admin
Defra,Forestry Commission,2021/11/25,Accommodation,Commissioners' Office Indirect,Forestry And Land Scotland,1862,88205.50,0.00,88205.50,Accommodation,Rental of office space,Admin
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,Gloucestershire County Council,1869,79632.65,0.00,79632.65,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,Greater London Authority (Gla),1870,449381.39,0.00,449381.39,Private Woodland Grants - Urban Tree Challenge Fund,Urban Tree Challenge Fund,Prog 
Defra,Forestry Commission,2021/11/02,Private Woodland Grants,Etpp - Sustainable Forest Man.,Hampshire County Council,1785,56792.25,0.00,56792.25,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/25,Miscellaneous Expenditure,Nature For Climate Fund,Lantra,13046,65000.00,0.00,65000.00,Miscellaneous Expenditure - Sector Capacity Workstream 7,Sector Capacity Workstream 7,Prog 
Defra,Forestry Commission,2021/11/11,Private Woodland Grants,Etpp - Sustainable Forest Man.,Leicester City Council,1844,30316.88,0.00,30316.88,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Leicestershire County Council,1795,64741.78,0.00,64741.78,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Lincolnshire County Council,1799,42507.50,0.00,42507.50,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
