Website,Bottle Title,Lot Number,Price,Distillery,Age,Vintage,Region,Bottler,Cask Type,Bottle Stength,Bottle Size,Distillery Status,Bid Status,Auction Date,Stock Image,Auction URL
whiskyauctioneer.com,Port Ellen 12 Year Old Queen's Visit 1980,318912,72000,Port Ellen,12 Year Old,,Islay,Official,,,Full size,Closed,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_4279_22.JPG?itok=K0RWD_ez,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Macallan 78 Year Old The Red Collection,317182,69000,Macallan,78 year old,,Speyside,Official,,42.2%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_9884_74.JPG?itok=IYf6a3rW,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Macallan 50 Year Old Lalique Six Pillars Collection,318494,67000,Macallan,50 year old,,Speyside,Official,sherry wood,46%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_6177_20.JPG?itok=UngDNx_I,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Macallan 72 Year Old Lalique Genesis Decanter,320257,64000,Macallan,72 year old,,Speyside,Official,,42%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_6218_21.JPG?itok=znlOaA1T,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Bowmore 1966 Samaroli Bouquet,321354,48000,Bowmore,,1966,Islay,R.W. Duthie for Samaroli,,53%,75cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_7452_26.JPG?itok=biiJYRWu,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Laphroaig 1967 Samaroli 15 Year Old Sherry Wood / Silver Cap,318906,32500,Laphroaig,15 Year Old,1967,Islay,R.W. Duthie for Samaroli,Sherry Wood,57%,75cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_4272_24.JPG?itok=OekjdtFb,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Karuizawa 1965 Single Sherry Cask 50 Year Old #2372 / LMDW,318368,29000,Karuizawa,50 Year Old,1965,Japan,Number One Drinks,Sherry,62.3%,70cl,Closed,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_4297_22.JPG?itok=993SA9gI,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Bowmore 1965 Oloroso Sherry Cask 52 Year Old,323486,27000,Bowmore,52 Year Old,1965,Islay,Official,Oloroso Sherry Cask,42%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_9829_65.JPG?itok=06BqUCEp,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Hanyu 1985 Ichiro's Malt 'Card' #9308 / 2nd Ace of Spades,316803,26000,Hanyu,,1985,Japan,Official,see lot description,55%,70cl,Closed,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_6286_24.JPG?itok=H9Hdvd3h,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Hanyu 1985 Ichiro's Malt 'Card' #9308 / 2nd Ace of Spades,317179,24000,Hanyu,,1985,Japan,Official,see lot description,55%,70cl,Closed,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_0171_166_0_0.JPG?itok=Spzb8x-R,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Hanyu 1988 Ichiro's Malt 'Card' #7003 / Queen of Clubs,317165,20000,Hanyu,,1988,Japan,Official,,56%,70cl,Closed,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_0460_100_0_0_0_0_0.JPG?itok=2IUHG7H_,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Hanyu 2000 Ichiro's Malt 'Card' #9500 / Two of Clubs,316806,20000,Hanyu,,2000,Japan,Official,,57%,70cl,Closed,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_6254_28.JPG?itok=Kd2J7ZQt,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Glenfarclas 1952 Family Cask #1712 / Release I,316706,18000,Glenfarclas,,1952,Speyside,Official,plain hogshead,56.5%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/316706-001.jpg?itok=suNgxUr2,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Macallan 40 Year Old The Red Collection,310528,18000,Macallan,40 year old,,Speyside,Official,sherry wood,48.1%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/DSC00002_1.JPG?itok=BBwnn26U,https://whiskyauctioneer.com/december-2020-auction
whiskyauctioneer.com,Macallan 40 Year Old The Red Collection,320033,18000,Macallan,40 year old,,Speyside,Official,sherry wood,48.1%,70cl,Operational,Winning Bid,11.01.21,https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/IMG_9888_94.JPG?itok=aEgysg8R,https://whiskyauctioneer.com/december-2020-auction
